timestamp,username,type
0:45,Sarah,heart
1:12,Fatima,heart
1:45,Aisha,clap
2:20,Zainab,heart
2:58,Mariam,thumbsUp
3:15,Layla,heart
3:42,Khadija,clap
4:10,Sofia,heart
4:35,Noor,heart
5:05,Hana,thumbsUp
5:40,Amina,clap
6:15,Yasmin,heart
6:50,Salma,heart
7:25,Rania,clap
8:00,Leila,heart
8:35,Dina,thumbsUp
9:10,Maya,heart
9:45,Nadia,clap
10:20,Sara,heart
10:55,Malak,heart
11:30,Rana,thumbsUp
12:05,Lina,clap
12:40,Jana,heart
13:15,Reem,heart
13:50,Huda,clap
14:25,Sumaya,heart
15:00,Habiba,thumbsUp
15:35,Mona,heart
16:10,Nora,clap
16:45,Zahra,heart
17:20,Samira,heart
17:55,Farah,thumbsUp
18:30,Maryam,clap
19:05,Asma,heart
19:40,Hala,heart
20:15,Laila,clap
20:50,Amira,heart
21:25,Safiya,thumbsUp
22:00,Bushra,heart
22:35,Hiba,clap
23:10,Sundus,heart
23:45,Ruqayya,heart
24:20,Jamila,thumbsUp
24:55,Maysa,clap
25:30,Dalal,heart
26:05,Najwa,heart
26:40,Suha,clap
27:15,Iman,heart
27:50,Karima,thumbsUp
28:25,Lubna,heart
29:00,Samia,clap
29:30,Wafa,heart
